"";BBIM1.M.DE.B.A2C.A.C.A.2250.EUR.N;BBIM1.M.DE.B.A2C.A.C.A.2250.EUR.N_FLAGS
2022-04;1,98;
2022-05;2,29;
2022-06;2,62;
2022-07;2,85;
2022-08;2,89;
2022-09;3,08;
2022-10;3,31;
2022-11;3,67;
2022-12;3,60;
2023-01;3,73;
2023-02;3,85;
2023-03;3,95;
2023-04;3,98;
2023-05;3,99;
2023-06;4,12;
2023-07;4,08;
2023-08;4,19;
2023-09;4,17;
2023-10;4,22;
2023-11;4,27;
2023-12;4,12;
2024-01;3,90;Vorläufiger Wert
"";Bemerkung zu 2010-06: Änderung des Hochrechnungsverfahrens nach den Vorgaben der EZB (Guideline ECB/2014/15);
